member_id,join_date,cancel_date,gender,age,zip_code,membership_type
M0001,2022-01-21,2022-05-12,Other,39,46201,Classic
M0002,2023-01-01,,M,38,46203,Black Card
M0003,2024-12-27,,Other,53,46203,Black Card
M0004,2023-07-27,,F,41,46250,Black Card
M0005,2024-06-28,,F,49,46203,Classic
M0006,2023-02-28,,Other,64,46203,Classic
M0007,2022-04-01,,F,55,46250,Black Card
M0008,2022-12-28,,M,50,46250,Classic
M0009,2023-03-06,,F,46,46205,Classic
M0010,2023-10-17,,M,38,46205,Classic
M0011,2023-03-24,,M,23,46250,Classic
M0012,2022-12-16,,M,44,46205,Classic
M0013,2024-07-27,,F,22,46203,Classic
M0014,2024-03-15,,F,32,46203,Classic
M0015,2023-06-05,,F,49,46203,Black Card
M0016,2022-07-14,,F,54,46220,Classic
M0017,2023-02-10,,M,37,46203,Black Card
M0018,2022-05-22,,M,20,46205,Classic
M0019,2022-07-31,,M,49,46203,Black Card
M0020,2022-03-25,,M,52,46203,Black Card
M0021,2022-10-25,,Other,19,46250,Classic
M0022,2022-09-11,,F,30,46201,Black Card
M0023,2024-01-05,2024-12-22,F,22,46220,Black Card
M0024,2022-02-18,,M,19,46203,Classic
M0025,2022-07-07,,Other,61,46201,Classic
M0026,2022-07-20,,M,62,46250,Black Card
M0027,2024-09-01,,F,26,46220,Classic
M0028,2023-06-29,,M,58,46250,Classic
M0029,2023-02-14,,F,27,46250,Classic
M0030,2024-07-15,,M,60,46205,Classic
M0031,2024-11-23,,M,52,46250,Black Card
M0032,2024-11-06,,F,33,46201,Black Card
M0033,2024-04-29,,M,52,46203,Black Card
M0034,2024-05-22,,M,54,46203,Classic
M0035,2022-07-08,,M,35,46220,Classic
M0036,2023-07-29,,M,58,46203,Black Card
M0037,2024-11-27,,M,28,46203,Classic
M0038,2023-11-16,,M,30,46250,Black Card
M0039,2023-08-26,,M,63,46220,Classic
M0040,2022-03-01,2023-04-30,Other,21,46201,Black Card
M0041,2024-03-11,,M,34,46201,Classic
M0042,2023-12-03,,F,60,46203,Classic
M0043,2024-05-04,,F,21,46205,Classic
M0044,2024-02-27,2024-07-11,F,52,46201,Black Card
M0045,2022-08-08,2024-04-15,F,61,46250,Classic
M0046,2023-11-15,,M,52,46205,Classic
M0047,2023-04-15,2024-03-15,M,22,46220,Black Card
M0048,2023-05-24,2023-11-26,F,38,46220,Classic
M0049,2023-04-04,,F,46,46203,Classic
M0050,2023-05-25,,F,42,46203,Classic
M0051,2024-06-19,,F,24,46250,Classic
M0052,2023-08-14,,M,46,46203,Classic
M0053,2022-12-09,,F,21,46220,Classic
M0054,2023-03-19,,F,28,46250,Classic
M0055,2023-06-07,,Other,54,46205,Classic
M0056,2022-08-16,,F,39,46250,Classic
M0057,2023-08-24,,M,50,46203,Black Card
M0058,2023-07-26,,F,51,46203,Classic
M0059,2022-03-03,,F,29,46201,Classic
M0060,2024-02-08,2024-12-07,M,57,46250,Black Card
M0061,2022-03-31,2024-04-15,M,38,46205,Classic
M0062,2022-08-16,2023-03-17,Other,58,46203,Black Card
M0063,2024-02-29,,Other,49,46201,Classic
M0064,2024-12-22,,M,45,46203,Classic
M0065,2024-05-12,,Other,23,46203,Black Card
M0066,2023-11-08,,F,19,46201,Black Card
M0067,2022-03-04,2022-07-02,Other,36,46220,Classic
M0068,2024-05-01,,F,27,46250,Black Card
M0069,2022-11-15,2024-07-10,F,35,46205,Classic
M0070,2024-09-30,,M,54,46220,Classic
M0071,2024-03-03,,M,30,46220,Classic
M0072,2023-03-21,,M,40,46205,Classic
M0073,2022-07-08,,M,18,46203,Black Card
M0074,2022-08-02,,M,59,46205,Classic
M0075,2024-12-13,,Other,45,46203,Black Card
M0076,2024-03-04,,F,43,46220,Classic
M0077,2024-01-18,2024-02-18,M,63,46205,Classic
M0078,2022-07-19,2023-10-29,M,63,46220,Classic
M0079,2023-04-15,,F,44,46250,Classic
M0080,2024-06-23,,F,26,46250,Classic
M0081,2022-02-14,2023-02-02,M,31,46205,Black Card
M0082,2024-08-11,,F,45,46203,Classic
M0083,2022-07-05,2023-08-14,F,23,46203,Classic
M0084,2022-12-11,,F,57,46201,Classic
M0085,2023-05-06,,M,21,46250,Classic
M0086,2022-06-06,,Other,39,46203,Classic
M0087,2024-08-18,,M,34,46250,Black Card
M0088,2023-10-28,,F,29,46250,Black Card
M0089,2022-06-08,2022-09-28,M,36,46201,Classic
M0090,2023-08-21,2024-09-16,M,39,46201,Classic
M0091,2024-02-14,,F,31,46220,Black Card
M0092,2024-07-28,,F,49,46220,Classic
M0093,2024-09-15,2024-12-06,F,50,46201,Classic
M0094,2023-11-03,,M,27,46201,Classic
M0095,2024-07-28,,F,41,46203,Classic
M0096,2024-03-02,,F,30,46205,Classic
M0097,2024-07-22,,M,51,46220,Classic
M0098,2022-08-19,,F,47,46201,Classic
M0099,2024-02-16,,F,47,46205,Classic
M0100,2024-08-03,2024-11-23,M,63,46220,Classic
M0101,2023-10-10,2024-05-09,M,48,46250,Black Card
M0102,2024-11-23,,Other,22,46205,Black Card
M0103,2022-09-27,,M,44,46250,Classic
M0104,2024-04-30,,M,55,46220,Classic
M0105,2024-07-06,,M,28,46203,Black Card
M0106,2022-06-03,2024-08-06,Other,31,46203,Classic
M0107,2023-06-09,,M,42,46203,Black Card
M0108,2022-11-09,,M,39,46220,Classic
M0109,2023-01-03,,M,32,46205,Black Card
M0110,2023-06-30,,F,38,46203,Classic
M0111,2022-06-14,,Other,18,46201,Black Card
M0112,2024-08-19,,M,40,46205,Classic
M0113,2022-11-03,,M,41,46201,Classic
M0114,2023-09-25,2024-10-29,Other,21,46205,Black Card
M0115,2022-04-19,,F,44,46250,Classic
M0116,2023-05-28,,M,59,46205,Black Card
M0117,2022-05-10,,M,18,46250,Classic
M0118,2023-07-08,,F,39,46201,Black Card
M0119,2024-03-20,,M,58,46220,Classic
M0120,2022-03-24,2022-08-27,M,63,46203,Classic
M0121,2024-09-19,,M,39,46203,Black Card
M0122,2023-05-08,,M,60,46201,Classic
M0123,2024-08-24,,F,63,46203,Classic
M0124,2024-03-30,,M,49,46205,Black Card
M0125,2024-08-10,,M,54,46205,Classic
M0126,2022-01-07,,M,26,46201,Classic
M0127,2022-09-13,,M,48,46205,Classic
M0128,2024-07-31,,F,58,46250,Classic
M0129,2023-04-20,,M,36,46205,Classic
M0130,2023-04-13,,M,53,46203,Classic
M0131,2023-09-03,,F,31,46220,Classic
M0132,2024-12-16,,F,32,46250,Black Card
M0133,2024-08-07,,F,56,46220,Black Card
M0134,2023-07-27,,Other,18,46203,Black Card
M0135,2022-06-14,,M,47,46203,Black Card
M0136,2022-05-30,,F,36,46250,Classic
M0137,2023-07-09,,F,25,46201,Black Card
M0138,2022-06-13,,F,21,46205,Black Card
M0139,2024-01-21,,M,60,46201,Classic
M0140,2023-07-22,,M,20,46201,Black Card
M0141,2024-03-20,,M,60,46201,Classic
M0142,2023-06-09,,M,53,46203,Black Card
M0143,2024-06-13,,Other,38,46250,Classic
M0144,2024-07-28,,Other,38,46203,Classic
M0145,2023-05-07,,F,38,46201,Classic
M0146,2024-09-23,,M,25,46203,Black Card
M0147,2022-10-08,,M,51,46203,Classic
M0148,2024-05-01,,Other,22,46201,Classic
M0149,2024-07-24,,F,46,46205,Black Card
M0150,2023-10-30,2024-08-17,F,54,46250,Black Card
M0151,2023-08-07,,F,45,46205,Classic
M0152,2024-07-03,,F,30,46250,Black Card
M0153,2023-05-28,,Other,42,46220,Classic
M0154,2024-06-23,,M,30,46205,Classic
M0155,2024-06-28,,M,21,46250,Classic
M0156,2022-02-07,2024-05-20,M,35,46220,Classic
M0157,2022-07-02,,F,29,46201,Classic
M0158,2022-12-06,,M,38,46203,Classic
M0159,2024-07-21,,F,64,46250,Classic
M0160,2022-04-24,2022-09-27,F,60,46203,Black Card
M0161,2024-11-22,,F,53,46205,Classic
M0162,2023-10-06,,M,61,46203,Black Card
M0163,2022-04-10,,M,31,46205,Classic
M0164,2023-08-30,,M,27,46201,Classic
M0165,2023-03-14,,F,52,46203,Black Card
M0166,2024-06-07,,Other,29,46205,Classic
M0167,2023-10-05,,M,39,46250,Black Card
M0168,2022-02-17,,F,37,46203,Black Card
M0169,2022-08-05,,M,58,46205,Black Card
M0170,2024-10-18,,F,56,46250,Black Card
M0171,2022-05-27,2024-05-22,F,19,46203,Classic
M0172,2023-08-26,,M,19,46203,Classic
M0173,2024-10-24,,M,29,46220,Classic
M0174,2023-09-30,,F,53,46203,Black Card
M0175,2023-09-14,,F,50,46250,Classic
M0176,2023-08-28,,F,25,46250,Classic
M0177,2023-07-11,,F,43,46203,Classic
M0178,2022-10-03,2024-04-14,F,20,46250,Classic
M0179,2022-03-02,,M,38,46205,Classic
M0180,2024-12-25,,M,19,46250,Black Card
M0181,2022-07-08,2023-02-18,M,57,46201,Classic
M0182,2024-10-15,,M,26,46201,Black Card
M0183,2022-02-18,,M,47,46201,Classic
M0184,2022-05-04,2023-05-04,F,52,46220,Classic
M0185,2023-11-08,,M,38,46203,Classic
M0186,2023-11-11,,F,41,46203,Classic
M0187,2022-04-18,,F,52,46203,Classic
M0188,2023-11-18,,F,54,46201,Classic
M0189,2024-05-07,,M,18,46220,Classic
M0190,2022-01-21,,M,41,46201,Black Card
M0191,2022-04-13,2022-10-01,M,62,46220,Black Card
M0192,2022-06-05,,M,43,46220,Classic
M0193,2023-01-27,,M,28,46220,Black Card
M0194,2023-08-26,2024-01-25,F,64,46205,Classic
M0195,2022-10-18,,M,45,46205,Classic
M0196,2024-08-10,,M,29,46203,Classic
M0197,2023-04-10,,M,34,46250,Black Card
M0198,2022-03-27,,M,51,46220,Classic
M0199,2024-04-13,,F,36,46220,Classic
M0200,2024-11-24,,M,38,46205,Classic
M0201,2024-01-04,,M,49,46220,Black Card
M0202,2022-08-17,2023-06-07,F,61,46203,Classic
M0203,2023-05-02,,M,48,46205,Classic
M0204,2022-10-17,,M,54,46250,Black Card
M0205,2022-02-08,2023-07-02,F,47,46220,Black Card
M0206,2023-10-12,2023-11-13,F,28,46201,Classic
M0207,2022-07-22,2023-12-26,F,21,46203,Classic
M0208,2022-08-14,,M,33,46201,Classic
M0209,2024-11-05,,M,58,46220,Classic
M0210,2023-03-17,,M,60,46205,Black Card
M0211,2024-02-28,,F,33,46250,Classic
M0212,2022-09-14,,Other,25,46201,Classic
M0213,2024-06-04,,Other,38,46203,Black Card
M0214,2022-09-13,,M,44,46201,Black Card
M0215,2022-11-30,,M,27,46201,Classic
M0216,2022-02-28,,F,59,46203,Black Card
M0217,2023-07-11,,Other,43,46203,Black Card
M0218,2023-06-04,,F,52,46201,Black Card
M0219,2024-03-02,2024-12-29,F,43,46205,Black Card
M0220,2024-02-02,,F,48,46220,Classic
M0221,2022-10-22,,M,55,46203,Black Card
M0222,2023-12-08,,M,20,46203,Classic
M0223,2024-03-15,,F,61,46220,Classic
M0224,2024-04-10,,M,59,46220,Black Card
M0225,2022-01-15,2023-07-25,Other,45,46205,Classic
M0226,2023-02-27,,F,45,46203,Classic
M0227,2022-11-27,,F,39,46250,Black Card
M0228,2023-10-23,,F,53,46203,Classic
M0229,2023-04-14,,F,64,46205,Classic
M0230,2024-10-09,,F,58,46205,Classic
M0231,2022-06-17,,M,63,46250,Classic
M0232,2022-02-28,,Other,41,46220,Classic
M0233,2024-10-01,,M,20,46201,Classic
M0234,2022-11-29,,F,31,46205,Black Card
M0235,2022-12-31,,F,62,46220,Classic
M0236,2022-02-20,,M,29,46220,Classic
M0237,2024-05-04,,F,62,46203,Classic
M0238,2022-04-29,,M,40,46205,Black Card
M0239,2024-08-23,,F,31,46220,Black Card
M0240,2024-01-29,,M,42,46203,Black Card
M0241,2024-07-08,,Other,45,46250,Classic
M0242,2022-07-30,2023-12-10,F,57,46250,Classic
M0243,2023-03-13,2023-12-08,M,32,46250,Classic
M0244,2022-11-05,,M,48,46201,Classic
M0245,2022-12-30,,M,22,46250,Black Card
M0246,2023-12-20,,Other,45,46220,Black Card
M0247,2024-08-02,,M,41,46220,Classic
M0248,2022-04-28,,M,33,46203,Black Card
M0249,2024-06-15,,F,57,46201,Black Card
M0250,2023-02-02,,F,22,46205,Classic
M0251,2024-01-01,,M,47,46205,Black Card
M0252,2023-10-22,2024-11-24,M,40,46201,Classic
M0253,2022-06-03,2023-12-27,F,20,46205,Classic
M0254,2022-08-22,,F,51,46205,Black Card
M0255,2024-12-06,,M,24,46250,Classic
M0256,2024-05-01,,F,20,46201,Classic
M0257,2024-06-07,,M,50,46203,Black Card
M0258,2022-04-22,2024-08-20,M,24,46201,Classic
M0259,2022-03-09,,F,20,46205,Classic
M0260,2023-09-04,,M,59,46205,Classic
M0261,2022-03-12,,M,32,46220,Classic
M0262,2022-05-02,,M,57,46203,Classic
M0263,2022-01-01,,F,55,46201,Black Card
M0264,2023-03-14,,M,46,46220,Black Card
M0265,2022-10-08,2023-10-09,F,18,46203,Black Card
M0266,2022-07-06,,F,62,46203,Black Card
M0267,2023-06-28,,M,20,46250,Classic
M0268,2023-07-22,,M,63,46205,Black Card
M0269,2022-09-27,2023-12-23,F,43,46220,Classic
M0270,2024-09-25,,F,41,46205,Black Card
M0271,2023-07-15,,M,27,46220,Black Card
M0272,2024-06-02,,F,55,46250,Black Card
M0273,2024-04-08,,F,35,46203,Classic
M0274,2023-09-25,,M,40,46203,Classic
M0275,2023-08-12,,M,34,46203,Black Card
M0276,2022-07-30,2023-02-04,M,58,46205,Black Card
M0277,2024-11-11,,Other,23,46203,Black Card
M0278,2024-09-04,,M,22,46220,Classic
M0279,2023-04-22,,M,40,46201,Classic
M0280,2023-08-07,,M,61,46205,Classic
M0281,2024-08-24,,M,19,46250,Black Card
M0282,2023-08-21,,F,54,46250,Classic
M0283,2023-11-06,,Other,38,46220,Classic
M0284,2022-09-13,2024-02-27,M,57,46205,Classic
M0285,2023-09-29,,F,19,46205,Black Card
M0286,2023-08-14,,M,31,46250,Classic
M0287,2024-10-19,,Other,61,46220,Black Card
M0288,2024-02-09,,M,46,46220,Classic
M0289,2022-04-12,2024-02-14,M,64,46250,Classic
M0290,2024-01-31,,Other,26,46205,Classic
M0291,2023-10-20,,Other,48,46205,Black Card
M0292,2023-07-16,,F,57,46203,Classic
M0293,2024-11-16,,F,21,46203,Classic
M0294,2024-12-04,,F,22,46201,Black Card
M0295,2024-08-01,2024-12-06,M,35,46205,Classic
M0296,2024-07-14,,F,64,46203,Black Card
M0297,2022-12-26,,F,20,46250,Black Card
M0298,2022-01-27,,M,29,46220,Classic
M0299,2022-09-14,2024-10-01,F,36,46201,Classic
M0300,2022-01-14,,M,47,46205,Black Card
M0301,2023-08-10,,M,64,46220,Black Card
M0302,2024-09-14,,M,47,46201,Classic
M0303,2024-03-08,,M,56,46201,Classic
M0304,2024-02-21,,Other,27,46201,Classic
M0305,2022-05-13,2023-07-27,M,18,46250,Black Card
M0306,2022-08-22,2024-02-03,F,63,46203,Black Card
M0307,2024-01-26,,M,47,46220,Classic
M0308,2022-07-02,,Other,49,46250,Classic
M0309,2023-05-30,,M,62,46220,Black Card
M0310,2023-03-19,2024-12-06,F,60,46201,Classic
M0311,2024-09-14,,M,61,46201,Classic
M0312,2022-09-04,,Other,23,46250,Classic
M0313,2023-01-21,,M,34,46203,Black Card
M0314,2024-10-11,,F,19,46250,Classic
M0315,2022-10-06,,M,36,46201,Classic
M0316,2024-08-06,,F,18,46250,Classic
M0317,2023-12-07,,F,23,46220,Black Card
M0318,2024-10-29,,Other,57,46220,Classic
M0319,2023-07-19,,M,54,46205,Classic
M0320,2023-08-20,2024-03-14,M,31,46220,Black Card
M0321,2024-06-03,,F,20,46205,Classic
M0322,2022-11-03,,F,51,46205,Black Card
M0323,2023-01-09,,F,52,46205,Black Card
M0324,2023-08-19,2024-02-21,M,27,46205,Classic
M0325,2022-05-23,2022-07-27,F,61,46201,Classic
M0326,2022-02-24,,M,32,46205,Black Card
M0327,2023-03-05,,F,27,46220,Classic
M0328,2022-10-04,2024-02-28,F,50,46250,Black Card
M0329,2022-03-13,,F,59,46220,Black Card
M0330,2022-08-14,,F,38,46220,Classic
M0331,2024-12-10,,M,26,46203,Black Card
M0332,2023-10-23,,F,36,46220,Classic
M0333,2024-07-01,,M,27,46220,Classic
M0334,2024-09-27,,F,19,46250,Classic
M0335,2024-09-29,,M,29,46220,Black Card
M0336,2023-08-27,,M,25,46203,Black Card
M0337,2024-09-25,,M,64,46220,Black Card
M0338,2023-11-02,2024-12-19,F,48,46250,Black Card
M0339,2023-01-19,,Other,50,46205,Classic
M0340,2024-04-29,,M,18,46203,Classic
M0341,2022-08-28,,M,24,46201,Black Card
M0342,2023-08-20,,M,35,46201,Black Card
M0343,2022-03-21,,Other,31,46203,Classic
M0344,2023-04-08,,M,53,46201,Classic
M0345,2022-05-19,2024-06-04,M,54,46203,Classic
M0346,2023-09-28,,M,25,46250,Classic
M0347,2024-01-13,,Other,57,46203,Classic
M0348,2022-10-01,,F,38,46203,Black Card
M0349,2023-12-16,,Other,59,46250,Black Card
M0350,2024-10-07,,M,54,46205,Classic
M0351,2023-02-11,2023-06-29,F,53,46250,Black Card
M0352,2024-09-05,2024-11-10,F,63,46250,Classic
M0353,2024-09-07,,F,45,46203,Classic
M0354,2023-08-09,,M,63,46205,Black Card
M0355,2022-10-25,,F,51,46250,Classic
M0356,2022-06-29,2024-07-10,F,42,46250,Black Card
M0357,2023-09-13,,M,62,46205,Classic
M0358,2022-04-02,2024-04-16,M,55,46203,Classic
M0359,2022-05-22,,M,33,46201,Classic
M0360,2024-08-05,,F,54,46250,Classic
M0361,2023-05-17,,F,48,46203,Classic
M0362,2023-09-21,,M,27,46203,Classic
M0363,2024-05-10,2024-07-04,F,47,46250,Black Card
M0364,2024-02-27,,Other,40,46203,Black Card
M0365,2023-12-28,,M,63,46203,Classic
M0366,2024-04-10,,M,23,46203,Classic
M0367,2024-10-03,,M,23,46203,Classic
M0368,2024-02-22,,F,36,46203,Classic
M0369,2022-03-21,2024-01-23,M,25,46201,Classic
M0370,2023-07-17,2024-01-16,M,32,46201,Classic
M0371,2024-06-15,,M,53,46220,Classic
M0372,2022-06-29,,M,39,46205,Black Card
M0373,2022-12-29,,M,27,46203,Classic
M0374,2024-02-11,,F,44,46220,Classic
M0375,2024-09-20,,F,36,46201,Black Card
M0376,2022-08-29,,M,26,46250,Black Card
M0377,2023-10-03,2024-01-29,M,27,46205,Black Card
M0378,2023-04-15,2024-12-10,M,39,46250,Black Card
M0379,2023-01-09,2023-10-10,F,18,46220,Classic
M0380,2023-07-11,,F,49,46201,Classic
M0381,2022-02-26,,F,40,46220,Black Card
M0382,2023-03-16,,Other,34,46203,Black Card
M0383,2024-02-10,,M,58,46203,Black Card
M0384,2024-11-26,,F,20,46203,Black Card
M0385,2023-03-24,,F,49,46250,Classic
M0386,2023-04-05,,M,19,46250,Classic
M0387,2024-04-04,,M,49,46203,Classic
M0388,2024-12-04,,F,63,46201,Classic
M0389,2022-06-05,,Other,28,46220,Classic
M0390,2024-08-30,,F,52,46205,Black Card
M0391,2024-05-23,,M,36,46201,Black Card
M0392,2023-02-15,,F,41,46250,Black Card
M0393,2022-03-24,,M,52,46250,Classic
M0394,2024-01-02,,F,55,46203,Classic
M0395,2023-06-28,,M,48,46205,Classic
M0396,2024-09-27,,F,35,46205,Classic
M0397,2023-03-24,,M,53,46250,Black Card
M0398,2022-05-08,,Other,23,46201,Classic
M0399,2023-07-30,,F,64,46203,Classic
M0400,2023-12-26,,M,22,46205,Black Card
M0401,2022-08-07,2023-07-12,M,32,46205,Black Card
M0402,2023-08-28,,M,45,46201,Classic
M0403,2023-12-11,,M,25,46250,Classic
M0404,2022-01-15,2022-12-26,F,39,46250,Classic
M0405,2023-11-19,,M,25,46220,Classic
M0406,2024-10-15,,F,21,46201,Black Card
M0407,2022-01-26,,F,61,46203,Classic
M0408,2024-02-05,,F,47,46220,Classic
M0409,2022-06-22,,M,49,46220,Classic
M0410,2024-01-30,,M,20,46220,Classic
M0411,2024-11-29,,F,19,46203,Black Card
M0412,2023-03-01,,M,51,46203,Black Card
M0413,2024-12-11,,Other,32,46203,Black Card
M0414,2023-06-19,,F,18,46203,Classic
M0415,2023-10-19,,M,45,46250,Black Card
M0416,2023-03-19,,F,40,46201,Black Card
M0417,2022-03-03,,M,48,46203,Classic
M0418,2023-05-02,,M,57,46220,Black Card
M0419,2022-12-09,2023-10-24,F,24,46201,Classic
M0420,2022-05-26,,F,42,46201,Classic
M0421,2022-07-10,,F,58,46220,Classic
M0422,2023-07-31,,M,51,46250,Classic
M0423,2023-11-25,,F,59,46205,Black Card
M0424,2023-05-17,,F,52,46205,Black Card
M0425,2023-09-12,,M,34,46220,Black Card
M0426,2024-07-10,,M,51,46203,Black Card
M0427,2022-05-13,,M,19,46250,Black Card
M0428,2022-10-24,,F,19,46250,Classic
M0429,2024-07-23,,M,53,46205,Classic
M0430,2024-12-12,,F,32,46205,Classic
M0431,2023-11-20,,M,36,46201,Classic
M0432,2023-05-27,,F,37,46201,Classic
M0433,2022-12-01,,M,28,46203,Classic
M0434,2023-12-04,,Other,44,46203,Classic
M0435,2024-05-15,,M,36,46250,Black Card
M0436,2023-10-24,,M,42,46205,Classic
M0437,2023-03-03,,F,21,46201,Black Card
M0438,2022-12-02,2024-03-14,M,34,46220,Classic
M0439,2024-03-11,,M,56,46205,Classic
M0440,2022-05-01,,M,46,46201,Classic
M0441,2024-12-19,,M,41,46250,Black Card
M0442,2024-10-10,,F,40,46205,Classic
M0443,2022-08-18,,F,59,46201,Classic
M0444,2022-05-16,,M,55,46201,Classic
M0445,2023-10-16,,M,23,46205,Classic
M0446,2024-05-06,,M,33,46205,Classic
M0447,2024-04-12,,M,29,46205,Classic
M0448,2023-08-11,2024-10-24,F,26,46203,Black Card
M0449,2024-10-12,,Other,39,46201,Classic
M0450,2024-06-02,,F,27,46203,Black Card
M0451,2024-07-24,,F,47,46205,Classic
M0452,2024-08-02,,M,51,46220,Classic
M0453,2022-11-23,2024-08-26,Other,39,46250,Classic
M0454,2024-12-15,,M,24,46250,Black Card
M0455,2022-08-14,,M,35,46250,Classic
M0456,2023-12-27,,F,29,46201,Classic
M0457,2022-10-23,,F,46,46203,Black Card
M0458,2022-03-22,,F,24,46203,Black Card
M0459,2023-05-09,,F,64,46205,Classic
M0460,2024-01-17,,M,54,46205,Black Card
M0461,2023-09-12,,M,48,46250,Black Card
M0462,2022-09-03,,M,38,46220,Classic
M0463,2024-07-16,,M,51,46250,Classic
M0464,2023-09-10,,Other,23,46205,Black Card
M0465,2023-06-19,,F,29,46205,Black Card
M0466,2024-08-23,,F,26,46203,Black Card
M0467,2024-10-21,,M,25,46201,Classic
M0468,2024-09-20,,F,36,46203,Classic
M0469,2024-01-20,,M,62,46220,Black Card
M0470,2024-05-10,,M,33,46205,Black Card
M0471,2024-08-16,,F,61,46220,Black Card
M0472,2024-01-11,,F,59,46205,Classic
M0473,2022-01-27,,F,40,46201,Black Card
M0474,2023-11-19,,M,22,46220,Classic
M0475,2022-07-14,,Other,31,46205,Classic
M0476,2022-05-14,,M,47,46220,Black Card
M0477,2024-06-24,,Other,44,46201,Black Card
M0478,2023-04-24,2024-11-15,F,59,46250,Classic
M0479,2023-09-29,2024-08-16,F,45,46220,Classic
M0480,2024-04-26,,F,34,46203,Classic
M0481,2024-10-16,,M,43,46205,Black Card
M0482,2022-07-07,,F,48,46220,Classic
M0483,2023-10-31,,Other,46,46203,Classic
M0484,2022-06-16,,F,27,46250,Black Card
M0485,2024-01-19,,M,34,46205,Black Card
M0486,2022-07-01,,M,50,46250,Black Card
M0487,2023-05-02,,F,38,46201,Classic
M0488,2022-06-20,,F,46,46203,Black Card
M0489,2022-01-13,,M,39,46203,Classic
M0490,2024-10-04,,F,61,46203,Classic
M0491,2022-01-06,,M,43,46250,Classic
M0492,2023-10-18,,M,45,46203,Black Card
M0493,2022-03-09,,F,24,46201,Black Card
M0494,2023-02-13,2023-08-20,M,49,46201,Classic
M0495,2024-11-22,,F,47,46201,Classic
M0496,2022-08-01,2022-10-16,F,29,46205,Classic
M0497,2023-01-04,,M,59,46220,Black Card
M0498,2022-04-20,,M,46,46205,Classic
M0499,2024-12-16,,M,31,46220,Black Card
M0500,2023-03-24,,M,38,46220,Classic
